country,gunhomirate,guncapita,handgun,semiauto,opencarry,concealed
Austria,0.2,30.0,TRUE,TRUE,TRUE,TRUE
Bahamas,24.0,18.8,TRUE,TRUE,TRUE,TRUE
Barbados,4.8,3.5,TRUE,TRUE,TRUE,TRUE
Bosnia and Herzegovina,0.7,31.2,TRUE,TRUE,TRUE,TRUE
Dominica,4.1,6.2,TRUE,TRUE,TRUE,TRUE
Grenada,0.1,4.6,TRUE,TRUE,TRUE,TRUE
Guyana,4.4,15.8,TRUE,TRUE,TRUE,TRUE
Jordan,0.9,18.7,TRUE,TRUE,TRUE,TRUE
Liechtenstein,0.4,28.8,TRUE,TRUE,TRUE,TRUE
Philippines,5.4,3.6,TRUE,TRUE,TRUE,TRUE
Saint Vincent and the Grenadines,13.7,3.4,TRUE,TRUE,TRUE,TRUE
Switzerland,0.2,27.6,TRUE,TRUE,TRUE,TRUE
Trinidad and Tobago,23.1,3.2,TRUE,TRUE,TRUE,TRUE
United States of America,2.9,120.5,TRUE,TRUE,TRUE,TRUE
Belize,22.8,10.0,TRUE,FALSE,TRUE,TRUE
Chile,1.3,12.1,TRUE,FALSE,TRUE,TRUE
Dominican Republic,13.3,7.4,TRUE,FALSE,TRUE,TRUE
Israel,0.9,6.7,TRUE,FALSE,TRUE,TRUE
Jamaica,31.7,8.8,TRUE,FALSE,TRUE,TRUE
Mauritius,0.1,8.3,TRUE,FALSE,TRUE,TRUE
Mexico,12.7,12.9,TRUE,FALSE,TRUE,TRUE
Thailand,2.9,15.1,TRUE,FALSE,TRUE,TRUE
United Republic of Tanzania,0.1,0.8,TRUE,FALSE,TRUE,TRUE
Mongolia,0.3,7.9,FALSE,TRUE,TRUE,TRUE
Montenegro,1.9,39.1,FALSE,TRUE,TRUE,TRUE
Egypt,2.1,4.1,FALSE,FALSE,TRUE,TRUE
Germany,0.1,19.6,FALSE,FALSE,TRUE,TRUE
Iran (Islamic Republic of),0.6,7.3,FALSE,FALSE,TRUE,TRUE
